"","a1","a2","a","b","a_squared","b_squared"
"1",0,4,4,1,16,1
"2",0,7,7,2,49,4
"3",1,3,13,4,169,16
"4",1,6,16,5,256,25
"5",1,9,19,6,361,36
"6",3,8,38,12,1444,144
"7",5,7,57,18,3249,324
"8",13,6,136,43,18496,1849
"9",25,3,253,80,64009,6400
"10",48,7,487,154,237169,23716
"11",60,4,604,191,364816,36481
"12",72,1,721,228,519841,51984
"13",144,2,1442,456,2079364,207936
"14",216,3,2163,684,4678569,467856
"15",516,4,5164,1633,26666896,2666689
"16",960,7,9607,3038,92294449,9229444
"17",1849,3,18493,5848,341991049,34199104
"18",2293,6,22936,7253,526060096,52606009
"19",2737,9,27379,8658,749609641,74960964
"20",5475,8,54758,17316,2998438564,299843856
"21",8213,7,82137,25974,6746486769,674648676
"22",19609,6,196096,62011,38453641216,3845364121
"23",36481,3,364813,115364,133088524969,13308852496
"24",70224,7,702247,222070,493150849009,49315084900
"25",87096,4,870964,275423,758578289296,75857828929
"26",103968,1,1039681,328776,1080936581761,108093658176
"27",207936,2,2079362,657552,4323746327044,432374632704
"28",311904,3,3119043,986328,9728429235849,972842923584
